Month,Hydro
1916-01,13.139
1916-02,13.309
1916-03,39.077
1916-04,62.325
1916-05,38.143
1916-06,37.548
1916-07,128.134
1916-08,35.538
1916-09,26.646
1916-10,22.54
1916-11,9.033
1916-12,13.054
1917-01,12.346
1917-02,17.811
1917-03,26.561
1917-04,34.32
1917-05,9.005
1917-06,79.089
1917-07,60.145
1917-08,32.225
1917-09,76.342
1917-10,28.912
1917-11,12.714
1917-12,7.872
1918-01,42.107
1918-02,30.752
1918-03,8.382
1918-04,6.145
1918-05,49.611
1918-06,80.93
1918-07,56.294
1918-08,36.812
1918-09,28.402
1918-10,10.364
1918-11,2.973
1918-12,17.528
1919-01,33.017
1919-02,28.26
1919-03,29.478
1919-04,32.168
1919-05,15.744
1919-06,49.413
1919-07,54.199
1919-08,39.276
1919-09,6.683
1919-10,6.032
1919-11,6.966
1919-12,7.759
1920-01,11.836
1920-02,50.234
1920-03,29.45
1920-04,7.9
1920-05,6.881
1920-06,123.858
1920-07,59.692
1920-08,26.363
1920-09,9.571
1920-10,21.521
1920-11,18.717
1920-12,25.4
1921-01,31.29
1921-02,51.792
1921-03,73.511
1921-04,23.022
1921-05,17.33
1921-06,83.818
1921-07,31.007
1921-08,26.363
1921-09,4.049
1921-10,12.29
1921-11,9.656
1921-12,4.417
1922-01,12.629
1922-02,74.417
1922-03,45.335
1922-04,13.026
1922-05,36.755
1922-06,72.916
1922-07,73.652
1922-08,22.342
1922-09,44.599
1922-10,25.995
1922-11,13.536
1922-12,11.015
1923-01,6.258
1923-02,5.38
1923-03,8.297
1923-04,24.041
1923-05,13.536
1923-06,72.293
1923-07,58.956
1923-08,40.267
1923-09,8.75
1923-10,2.764
1923-11,4.616
1923-12,9.826
1924-01,9.968
1924-02,15.801
1924-03,50.036
1924-04,49.385
1924-05,8.467
1924-06,22.37
1924-07,90.614
1924-08,54.652
1924-09,18.123
1924-10,9.316
1924-11,5.692
1924-12,27.411
1925-01,39.814
1925-02,8.722
1925-03,16.226
1925-04,5.494
1925-05,85.404
1925-06,39.927
1925-07,44.656
1925-08,29.28
1925-09,9.486
1925-10,23.645
1925-11,12.799
1925-12,28.883
1926-01,17.755
1926-02,58.078
1926-03,35.736
1926-04,22.087
1926-05,25.259
1926-06,45.647
1926-07,96.107
1926-08,19.794
1926-09,10.364
1926-10,4.814
1926-11,8.892
1926-12,5.635
1927-01,38.426
1927-02,81.751
1927-03,18.774
1927-04,28.6
1927-05,34.801
1927-06,92.879
1927-07,27.467
1927-08,55.359
1927-09,13.507
1927-10,4.814
1927-11,8.127
1927-12,19.652
1928-01,71.274
1928-02,87.046
1928-03,84.469
1928-04,30.214
1928-05,36.387
1928-06,42.362
1928-07,59.437
1928-08,49.215
1928-09,66.828
1928-10,39.87
1928-11,27.467
1928-12,7.844
1929-01,4.163
1929-02,5.012
1929-03,14.98
1929-04,19.878
1929-05,18.689
1929-06,92.37
1929-07,117.713
1929-08,55.756
1929-09,13.989
1929-10,9.656
1929-11,4.049
1929-12,4.757
